state,office,pres_voteshare_d,name,inc,deny,voteshare_g
AL,AG,0.37088626623153687,"MARSHALL, STEVE",1,1,0.6795496344566345
AL,GOV,0.37088626623153687,"IVEY, KAY",1,1,0.696328341960907
AL,H,0.3570356070995331,"CARL, JERRY",1,1,1
AL,H,0.3513241410255432,"MOORE, BARRY",1,1,0.7032137513160706
AL,H,0.32774922251701355,"ROGERS, MIKE",1,1,0.7391325831413269
AL,H,0.18797431886196136,"ADERHOLT, ROBERT",1,1,0.8604957461357117
AL,H,0.36226797103881836,"STRONG, DALE",0,1,0.6942122578620911
AL,H,0.34865719079971313,"PALMER, GARY",1,1,1
AL,H,0.6613568663597107,"NICHOLS, BEATRICE",0,1,0.3536131978034973
AL,SEN,0.37088626623153687,"BRITT, KATIE",0,1,0.6832649111747742
AL,SOS,0.37088626623153687,"ALLEN, WES",0,1,0.6792799830436707
AR,AG,0.35787567496299744,"GRIFFIN, TIM",0,0,0.6761234998703003
AR,GOV,0.35787567496299744,"SANDERS, SARAH HUCKABEE",0,0,0.6414409279823303
AR,H,0.2892637848854065,"CRAWFORD, RICK",1,1,0.7379782199859619
AR,H,0.43259164690971375,"HILL, FRENCH",1,0,0.6300508379936218
AR,H,0.37929707765579224,"WOMACK, STEVE",1,0,0.6594409346580505
AR,H,0.31878310441970825,"WESTERMAN, BRUCE",1,1,0.730549156665802
AR,SEN,0.35787567496299744,"BOOZMAN, JOHN",1,0,0.6789144277572632
AR,SOS,0.35787567496299744,"THURSTON, JOHN",1,0,0.6704849600791931
AZ,AG,0.5015683174133301,"HAMADEH, ABRAHAM",0,1,0.49989816546440125
AZ,GOV,0.5015683174133301,"LAKE, KARI",0,1,0.49665507674217224
AZ,H,0.5075224041938782,"SCHWEIKERT, DAVID",1,1,0.5044193863868713
AZ,H,0.46000605821609497,"CRANE, ELI",0,1,0.5386891961097717
AZ,H,0.7572896480560303,"ZINK, JEFF NELSON",0,1,0.23019833862781525
AZ,H,0.5525283217430115,"COOPER, KELLY",0,1,0.43893665075302124
AZ,H,0.41681185364723206,"BIGGS, ANDY",1,1,0.6027743220329285
AZ,H,0.5003678798675537,"CISCOMANI, JUAN",0,0,0.5074920654296875
AZ,H,0.6663247346878052,"POZZOLO, LUIS",0,1,0.35455575585365295
AZ,H,0.43137115240097046,"LESKO, DEBBIE",1,1,1
AZ,H,0.3692956268787384,"GOSAR, PAUL",1,1,1
AZ,SEN,0.5015683174133301,"MASTERS, BLAKE",0,1,0.4750392735004425
AZ,SOS,0.5015683174133301,"FINCHEM, MARK",0,1,0.4761589467525482
CA,AG,0.649093747138977,"HOCHMAN, NATHAN",0,0,0.40917813777923584
CA,GOV,0.649093747138977,"DAHLE, BRIAN",0,0,0.4082050919532776
CA,H,0.4020587205886841,"LAMALFA, DOUG",1,1,0.6207290291786194
CA,H,0.7535677552223206,"BROWER, DOUGLAS",0,0,0.2559652030467987
CA,H,0.4907635748386383,"KILEY, KEVIN",0,0,0.5364829301834106
CA,H,0.6873723268508911,"BROCK, MATT",0,0,0.32198062539100647
CA,H,0.43708980083465576,"MCCLINTOCK, TOM",1,1,0.6130940318107605
CA,H,0.5946611762046814,"HAMILTON, TAMIKA",0,0,0.44053831696510315
CA,H,0.690209686756134,"SEMENENKO, MAX",0,0,0.31739261746406555
CA,H,0.7757612466812134,"RECILE, RUDY",0,1,0.2427147626876831
CA,H,0.5644474029541016,"PATTI, TOM",0,0,0.45184633135795593
CA,H,0.8802865147590637,"DENNIS, JOHN",0,1,0.16048124432563782
CA,H,0.9119879007339478,"SLAUSON, STEPHEN",0,0,0.09525813907384872
CA,H,0.5555230379104614,"DUARTE, JOHN",0,0,0.5021114945411682
CA,H,0.7321837544441223,"HAYDEN, ALISON",0,1,0.30661481618881226
CA,H,0.7418889403343201,"TANDON, RITESH",0,0,0.2907025218009949
CA,H,0.725233256816864,"HERNANDEZ, PETER",0,0,0.34146904945373535
CA,H,0.7025883793830872,"GORMAN, JEFF",0,1,0.3134940564632416
CA,H,0.37280839681625366,"MCCARTHY, KEVIN",1,1,0.6724656224250793
CA,H,0.6036863327026367,"MAHER, MICHAEL",0,0,0.458212286233902
CA,H,0.5661116242408752,"VALADAO, DAVID G.",1,0,0.5152354836463928
CA,H,0.4497460126876831,"OBERNOLTE, JAY",1,1,0.6102539896965027
CA,H,0.6487700343132019,"ALLEN, BRAD",0,0,0.39433330297470093
CA,H,0.5780069231987,"HAWKINS, BRIAN E.",0,1,0.42621544003486633
CA,H,0.602009654045105,"JACOBS, MATT",0,0,0.4546961188316345
CA,H,0.5632009506225586,"GARCIA, MIKE",1,1,0.532394289970398
CA,H,0.6743841171264648,"HALLMAN, WES",0,0,0.33764129877090454
CA,H,0.6585413813591003,"MARTINEZ, DANIEL BOCIC",0,0,0.4045760929584503
CA,H,0.7076500654220581,"VOLOTZKY, LUCIE LAPOINTE",0,1,0.3083018958568573
CA,H,0.6295424699783325,"PORTER, JOHN MARK",0,0,0.4228789806365967
CA,H,0.6411944031715393,"CARGILE, MIKE",0,1,0.4263514280319214
CA,H,0.725190281867981,"COLLINS, JOE E., III",0,1,0.3024953007698059
CA,H,0.6540646553039551,"CHING, ERIC J.",0,1,0.4190842807292938
CA,H,0.6335245966911316,"SMITH, AJA",0,1,0.4232695400714874
CA,H,0.5095659494400024,"KIM, YOUNG",1,0,0.5683529376983643
CA,H,0.49450504779815674,"CALVERT, KEN",1,1,0.5234535336494446
CA,H,0.7347531914710999,"BRISCOE, JOHN",0,1,0.3163106441497803
CA,H,0.826126217842102,"NAVARRO, OMAR",0,1,0.22669647634029388
CA,H,0.7467368245124817,"JONES, PAUL",0,0,0.2779387831687927
CA,H,0.5315223336219788,"STEEL, MICHELLE",1,0,0.5241323709487915
CA,H,0.6553966403007507,"GONZALES, CHRISTOPHER J.",0,0,0.38208839297294617
CA,H,0.5565972924232483,"BAUGH, SCOTT",0,0,0.48284676671028137
CA,H,0.4369751214981079,"ISSA, DARRELL",1,1,0.6036114692687988
CA,H,0.5583725571632385,"MARYOTT, BRIAN",0,0,0.4736970067024231
CA,H,0.6697103381156921,"GUSTAFSON, COREY",0,0,0.37157854437828064
CA,H,0.6398367881774902,"CAPLAN, STAN",0,0,0.38136711716651917
CA,H,0.6882103085517883,"GEFFENEY, TYLER",0,1,0.3332759439945221
